Ticker,Date/Time,Close,% Today,% Week,% Month,% Top,Volume,% Volume,Value,BarSwing<7%,Short,Middle,Long,EPS,Market,Industry,Sector
PDR,17/09/2021 00:00:00,80.00,-2.20,-2.79,-13.20,-17.65,4756000.00,143.09,380480000.00,9.00,Sell,Sell,Buy,3.01,HSX,8630 Bat dong san,8000 Tai chinh
PET,17/09/2021 00:00:00,28.25,-1.22,2.73,9.07,-6.61,3305700.00,98.59,93386024.00,3.00,Buy,Buy,Buy,1.69,HSX,5370 Ban le,5000 Dich vu Tieu dung
PHC,17/09/2021 00:00:00,18.85,-0.79,-14.71,-7.82,-28.33,1421700.00,95.22,26799046.00,0.00,Sell,Buy,Buy,0.38,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
PLC,17/09/2021 00:00:00,41.60,-0.72,3.48,17.18,-2.58,642800.00,59.64,26740480.00,2.00,Buy,Buy,Buy,2.13,HNX,1350 Hoa chat,1000 Nguyen vat lieu
PLP,17/09/2021 00:00:00,14.45,6.64,13.78,35.68,0.00,694500.00,65.56,10035525.00,1.00,Buy,Buy,Buy,1.14,HSX,1350 Hoa chat,1000 Nguyen vat lieu
PTB,17/09/2021 00:00:00,105.90,6.97,6.33,3.94,0.00,1778000.00,520.78,188290208.00,0.00,Buy,Buy,Buy,8.17,HSX,2350 Xay dung va Vat lieu,2000 Cong nghiep
PVT,17/09/2021 00:00:00,24.80,2.48,2.69,21.14,-2.75,10999100.00,150.47,272777664.00,2.00,Buy,Buy,Buy,2.17,HSX,2770 Van tai,2000 Cong nghiep
QNS,17/09/2021 00:00:00,54.00,0.00,6.93,16.28,-2.17,1362300.00,125.16,73564200.00,2.00,Buy,Buy,Buy,3.07,UPCOM,3570 San xuat thuc pham,3000 Hang Tieu dung
REE,17/09/2021 00:00:00,66.90,2.92,1.52,20.11,-2.34,2313500.00,173.06,154773152.00,2.00,Buy,Buy,Buy,5.77,HSX,2750 Cong nghiep nang,2000 Cong nghiep
SCR,17/09/2021 00:00:00,12.35,6.93,6.93,7.39,0.00,27521500.00,247.29,339890528.00,1.00,Buy,Buy,Buy,0.45,HSX,8630 Bat dong san,8000 Tai chinh
